Time,Distance,Z-Motor
21:58:09,134.4,49.75000000000004
21:58:09,134.12,49.75000000000004
21:58:09,134.29,49.75000000000004
21:58:09,134.29,49.75000000000004
21:58:09,134.29,49.75000000000004
21:58:09,134.29,49.75000000000004
21:58:10,134.29,49.75000000000004
21:58:10,134.29,49.75000000000004
21:58:10,129.49,49.75000000000004
21:58:10,124.9,49.75000000000004
21:58:10,120.43,49.75000000000004
21:58:10,116.17,49.75000000000004
21:58:11,112.08,49.75000000000004
21:58:11,108.17,49.75000000000004
21:58:11,104.45,49.75000000000004
21:58:11,100.96,49.75000000000004
21:58:11,97.64,49.75000000000004
21:58:11,94.53,49.75000000000004
21:58:11,91.51,49.75000000000004
21:58:11,88.6,49.75000000000004
21:58:12,85.81,49.75000000000004
21:58:12,83.14,49.75000000000004
21:58:12,80.58,49.75000000000004
